created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2022-05-27T21:56:49+05:30,282,27,68,965,722,,,,
2022-05-27T21:57:23+05:30,283,27,68,961,719,,,,
2022-05-27T21:58:10+05:30,284,27,68,964,722,,,,
2022-05-27T21:59:10+05:30,285,27,68,965,723,,,,
2022-05-27T21:59:57+05:30,286,27,68,960,674,,,,
2022-05-27T22:00:33+05:30,287,27,68,965,723,,,,
2022-05-27T22:01:04+05:30,288,27,68,965,723,,,,
2022-05-27T22:03:13+05:30,289,27,68,959,720,,,,
2022-05-27T22:04:22+05:30,290,27,68,959,719,,,,
2022-05-27T22:05:09+05:30,291,27,68,959,718,,,,
2022-05-27T22:05:41+05:30,292,27,68,957,720,,,,
2022-05-27T22:06:29+05:30,293,27,68,961,721,,,,
2022-05-27T22:07:01+05:30,294,27,68,960,717,,,,
2022-05-27T22:09:15+05:30,295,27,68,959,720,,,,
2022-05-27T22:10:41+05:30,296,27,68,964,722,,,,
2022-05-27T22:12:25+05:30,297,27,68,968,725,,,,
2022-05-27T22:13:26+05:30,298,27,67,965,723,,,,
2022-05-27T22:15:43+05:30,299,27,67,967,725,,,,
2022-05-27T22:16:02+05:30,300,27,67,966,724,,,,
2022-05-27T22:17:31+05:30,301,27,67,960,689,,,,
2022-05-27T22:18:32+05:30,302,27,67,967,725,,,,
2022-05-27T22:20:42+05:30,303,27,67,920,688,,,,
2022-05-27T22:22:53+05:30,304,27,68,920,690,,,,
2022-05-27T22:24:24+05:30,305,27,68,925,695,,,,
2022-05-27T22:24:48+05:30,306,27,68,923,693,,,,
2022-05-27T22:25:20+05:30,307,27,68,920,693,,,,
2022-05-27T22:26:54+05:30,308,27,68,909,681,,,,
2022-05-27T22:29:33+05:30,309,27,68,926,680,,,,
2022-05-27T22:32:05+05:30,310,27,69,913,692,,,,
2022-05-27T22:32:24+05:30,311,27,69,961,683,,,,
2022-05-27T22:32:43+05:30,312,27,69,927,690,,,,
2022-05-27T22:33:44+05:30,313,27,69,958,702,,,,
2022-05-28T09:03:29+05:30,314,25,72,971,729,,,,
2022-05-28T09:05:24+05:30,315,25,72,980,728,,,,
2022-05-28T09:05:57+05:30,316,25,72,969,728,,,,
2022-05-28T09:07:48+05:30,317,26,72,969,726,,,,
2022-05-28T09:09:04+05:30,318,26,72,971,730,,,,
2022-05-28T09:10:17+05:30,319,26,72,969,730,,,,
2022-05-28T09:10:35+05:30,320,26,72,970,730,,,,
2022-05-28T09:11:06+05:30,321,26,72,971,730,,,,
2022-05-28T09:15:35+05:30,322,26,72,971,730,,,,
2022-05-28T09:16:09+05:30,323,26,72,971,730,,,,
2022-05-28T09:17:06+05:30,324,26,72,972,730,,,,
2022-05-28T09:18:55+05:30,325,26,72,979,731,,,,
2022-05-28T09:20:44+05:30,326,26,72,971,731,,,,
2022-05-28T09:21:17+05:30,327,26,72,971,730,,,,
2022-05-28T09:21:49+05:30,328,26,72,978,728,,,,
2022-05-28T09:22:09+05:30,329,26,72,971,731,,,,
2022-05-28T09:24:47+05:30,330,26,73,971,736,,,,
2022-05-28T09:26:32+05:30,331,26,72,975,732,,,,
2022-05-28T09:27:05+05:30,332,26,72,979,732,,,,
